大类,体系,名称,阳光,乐器,七类,备注,状态,种植,文件
乐队,Ave Mujica,若叶睦Moritis,0,吉他,1 前排,,可种,主力,Mortis
乐队,Ave Mujica,揭幕喵梦（祐天寺若麦）,25,鼓手,4 产阳,一次性产阳,可种,主力,揭幕喵梦
乐队,Ave Mujica,三角初华,50,吉他,3 辅助,兼 sumimi,可种,主力,三角初华
乐队,Ave Mujica,初华小推车,50,吉他,6 灰烬,初华的其他体系,可种,主力,初音小推车
乐队,Ave Mujica,丰川祥子,75,键盘,5 过度,无 Mujica Fetter，仍算 Mujica,可种,主力,丰川祥子
乐队,Ave Mujica,若叶睦,75,吉他,2 输出,,可种,主力,黄瓜睦
乐队,Ave Mujica,八幡海玲Timoris,100,贝斯,2 输出,,可种,主力,八幡海玲
乐队,Ave Mujica,多首的怪物,125,吉他,2 输出,压力,可种,主力,多首的怪物
乐队,Ave Mujica,祐天寺若麦,150,鼓手,2 输出,,可种,主力,祐天寺若麦
乐队,Ave Mujica,丰川祥子Oblivionis,475,键盘,2 输出,,可种,主力,Oblivionis
乐队,MyGO,千早爱音,25,吉他,4 产阳,,可种,主力,千早爱音
乐队,MyGO,高松灯,25,主唱,2 输出,,可种,主力,常服高松灯
乐队,MyGO,天素罗,50,贝斯,1 前排,素世异形态,可种,主力,天素罗
乐队,MyGO,芭菲猫（要乐奈）,50,吉他,3 辅助,控制,可种,主力,芭菲猫
乐队,MyGO,压力希（椎名立希）,75,鼓手,2 输出,压力,可种,主力,压力希
乐队,MyGO,灵感菇,75,—,5 过度,灯的其他形态,可种,主力,灵感菇
乐队,MyGO,立希汪（椎名立希）,75,鼓手,2 输出,压力,可种,主力,立希汪
乐队,MyGO,企鹅高松灯,125,—,6 灰烬,灯的动物形态,可种,主力,企鹅高松灯
乐队,MyGO,宇宙高松灯,125,主唱,3 辅助,,可种,主力,宇宙高松灯
乐队,MyGO,灯（高松灯）,125,主唱,2 输出,,可种,主力,灯
乐队,MyGO,粉色奶龙（千早爱音）,175,吉他,7 针对,针对,可种,主力,粉色奶龙
乐队,MyGO,要乐奈,175,吉他,2 输出,,可种,主力,要乐奈
乐队,MyGO,椎名立希,200,鼓手,2 输出,,可种,主力,椎名立希
乐队,MyGO,长崎素世,225,贝斯,1 前排,,可种,主力,长崎素世
乐队,sumimi,纯田真奈,50,主唱,4 产阳,,可种,主力,纯田真奈
乐队,放学后茶会,田井中律,50,—,未完成,治疗 · 半成品,半成品,未完成,田井中律
乐队,放学后茶会,秋山澪,50,贝斯,3 辅助,治疗,可种,主力,秋山澪
乐队,放学后茶会,琴吹䌷,75,键盘,1 前排,治疗,可种,主力,琴吹䌷
乐队,放学后茶会,平泽唯,175,吉他,2 输出,治疗,可种,主力,平泽唯
乐队,无刺有刺,安和昴,50,鼓手,4 产阳,压力,可种,主力,486
乐队,无刺有刺,海老塚智,50,键盘,3 辅助,压力,可种,主力,Tomo
乐队,无刺有刺,rupa,75,贝斯,1 前排,压力,可种,主力,rupa
乐队,无刺有刺,河源木桃香,125,—,2 输出,,可种,主力,河源木桃香
乐队,无刺有刺,井芹仁菜(主唱),175,主唱,2 输出,压力,可种,主力,主唱Nina
乐队,无刺有刺,井芹仁菜,225,主唱,2 输出,压力,可种,主力,井芹仁菜
乐队,结束乐队,后藤一里,50,吉他,1 前排,,可种,主力,波奇
乐队,结束乐队,虹夏,50,鼓手,4 产阳,,可种,主力,虹夏
乐队,结束乐队,广井菊里,100,贝斯,2 输出,补算进结束乐队,可种,主力,广井菊里
乐队,结束乐队,伊地知星歌,150,—,3 辅助,补算进结束乐队,可种,主力,星歌
乐队,结束乐队,喜多,150,吉他,6 灰烬,,可种,主力,喜多
乐队,结束乐队,凉,200,贝斯,2 输出,,可种,主力,凉
乐队,结束乐队,吉他英雄,500,吉他,2 输出,,可种,主力,吉他英雄
软体系,压力,老仓育,50,—,未完成,半成品,半成品,未完成,老仓育
软体系,压力,章鱼噬,75,—,消耗品,消耗种植，但算压力体系,可种,消耗品,章鱼噼
软体系,压力,羽川翼,150,—,未完成,半成品,半成品,未完成,羽川翼
软体系,压力,凑友希那射手,175,主唱,2 输出,,可种,主力,凑友希那
软体系,压力,战场原黑仪,225,—,未完成,半成品,半成品,未完成,战场原黑仪
软体系,召唤物,可露希尔,50,—,未完成,半成品,半成品,未完成,可露希尔
软体系,召唤物,Mon3tr,500,鼓手,3 辅助,,可种,主力,M3
软体系,妄想天使,千夏,50,—,未完成,未完成,半成品,未完成,千夏
软体系,妄想天使,爱芮,50,主唱,5 过度,,可种,主力,爱芮
软体系,妄想天使,南宫羽,75,—,7 针对,,可种,辅助占格,南宫羽
软体系,撑伞,薇薇安,100,—,7 针对,,可种,辅助占格,薇薇安
软体系,棒球,今井莉莎,100,贝斯,2 输出,,可种,主力,今井莉莎
软体系,棒球,山吹沙绫,100,鼓手,2 输出,,可种,主力,山吹沙绫
软体系,飞天,叶瞬光,50,—,未完成,半成品,半成品,未完成,叶瞬光
软体系,飞天,惊蛰,50,—,2 输出,,可种,主力,惊蜇
通用,通用,八九寺真宵,0,—,2 输出,,可种,主力,八九寺真宵
通用,通用,嘉然土豆雷,25,—,5 过度,,可种,主力,嘉然土豆雷
通用,通用,睡莲,25,—,地形,地形,可种,地形,睡莲
通用,通用,凛御银灰,50,—,未完成,半成品,半成品,未完成,凛御银灰
通用,通用,桃金娘,50,鼓手,4 产阳,,可种,主力,桃金娘
通用,通用,大和麻弥,100,鼓手,2 输出,,可种,主力,大和麻弥
通用,通用,若宫伊芙,100,键盘,2 输出,,可种,主力,若宫伊芙
通用,通用,南瓜罩,125,—,1 前排,,可种,辅助占格,南瓜罩
通用,通用,史尔特尔,125,—,6 灰烬,,可种,主力,史尔特尔
通用,通用,苍角,125,—,6 灰烬,,可种,主力,苍角
通用,通用,圣聆初雪,275,—,2 输出,,可种,主力,圣聆初雪
通用,通用,维什戴尔,1000,—,2 输出,,可种,主力,维什戴尔
