COUNTS: {'1-前排': 4, '2-输出': 12, '3-辅助': 7, '4-产出阳光': 6, '5-过度': 2, '6-缓解压力/灰烬': 8, '7-针对类': 1, '升级卡': 4, '地形/消耗品': 6, '待确认': 12, '未完成/占位': 5}

## 1-前排
| \u4E95\u82B9\u4EC1\u83DC | 225 | 300 | 20 | MainPlant | SkillEffect_Nina, SkillEffect_NinaTaunt | 高HP(300)低攻 |
| \u540E\u85E4\u4E00\u91CC | 50 | 4000 | 0 | MainPlant | - | 高HP(4000)低攻 |
| \u69CC\u86C7\u6CE2\u5947(\u540E\u85E4\u4E00\u91CC) | 25 | 2000 | 20 | MainPlant | - | 高HP(2000)低攻 |
| rupa | 75 | 6000 | 20 | MainPlant | SkillEffect_Rupa | 高HP(6000)低攻 |

## 2-输出
| \u4EEA\u7384 | 50 | 300000 | 1800 | NonePlant | - | atk=1800或射击技能 |
| \u4F01\u9E45\u9AD8\u677E\u706F | 125 | 8000 | 500 | MainPlant | SkillEffect_Bowling | atk=500或射击技能 |
| \u4F0A\u5730\u77E5\u661F\u6B4C | 150 | 300 | 300 | MainPlant | SkillEffect_Xingge | atk=300或射击技能 |
| \u516B\u5E61\u6D77\u73B2Timoris | 100 | 300 | 20 | MainPlant | SkillEffect_Timoris | atk=20或射击技能 |
| \u51C9 | 200 | 300 | 180 | MainPlant | SkillEffect_Liang | atk=180或射击技能 |
| \u521D\u97F3\u5C0F\u63A8\u8F66 | 50 | 50000 | 18000 | MainPlant | PassiveSkill_Uik | atk=18000或射击技能 |
| \u5357\u5BAB\u7FBD | 75 | 30000 | 1800 | AimTargetPlant | SkillEffect_NGskill | AimTargetPlant 附着输出 |
| \u5403\u8C46\u51C9 | 150 | 500 | 180 | MainPlant | - | atk=180或射击技能 |
| \u5723\u8046\u521D\u96EA | 275 | 600 | 80 | MainPlant | SkillEffect_HatsuyukiUnlockAttack | atk=80或射击技能 |
| \u6A58\u798F\u798F | 0 | 180000 | 500 | NonePlant | SkillEffect_Bowling_ | atk=500或射击技能 |
| \u6F58\u5F15\u58F6 | 50 | 30000 | 180 | NonePlant | - | atk=180或射击技能 |
| \u8FC8\u5DF4\u8D6B | 50 | 500000 | 10000 | MainPlant | SkillEffect_Pingun | atk=10000或射击技能 |

## 3-辅助
| M3 | 500 | 300 | 80 | MainPlant | SkillEffect_M3Rebuild, SkillEffect_Mon3t | SkillEffect_M3Rebuild SkillEffect_Mon3tr |
| Tomo | 50 | 300 | 20 | MainPlant | SkillEffect_Tomo | SkillEffect_Tomo |
| \u4E09\u89D2\u521D\u534E | 50 | 300 | 60 | MainPlant | SkillEffect_Mujica_Doloris | SkillEffect_Mujica_Doloris |
