名称,阳光,乐器,乐队/tag,七类,软体系,状态,种植,羁绊成员,文件
若叶睦Moritis,0,吉他,AveMujica,1 前排,,可种,主力,若叶睦,Mortis
槌蛇波奇(后藤一里),25,—,结束乐队,1 前排,,可种,主力,,槌蛇波奇
后藤一里,50,吉他,结束乐队,1 前排,,可种,主力,波奇,波奇
rupa,75,贝斯,无刺有刺,1 前排,压力（GBC）,可种,主力,卢帕,rupa
琴吹䌷,75,键盘,放学后茶会,1 前排,,可种,主力,琴吹䌷,琴吹䌷
南瓜罩,125,—,保镖,1 前排,,可种,辅助占格,chessTileType: 15,南瓜罩
长崎素世,225,贝斯,Mygo,1 前排,,可种,主力,长崎素世,长崎素世
八九寺真宵,0,—,—,2 输出,,可种,主力,chessTileType: 1,八九寺真宵
高松灯,25,主唱,Mygo,2 输出,,可种,主力,高松灯,常服高松灯
丰川祥子(舞台),50,—,—,2 输出,,可种,主力,,Saki
若叶睦,75,吉他,AveMujica,2 输出,,可种,主力,chessTileType: 1,黄瓜睦
八幡海玲Timoris,100,贝斯,AveMujica,2 输出,,可种,主力,八幡海玲,八幡海玲
广井菊里,100,贝斯,酒鬼,2 输出,,可种,主力,,广井菊里
河源木桃香,125,—,无刺有刺 / 吉他手,2 输出,,可种,主力,河源木桃香,河源木桃香
吃豆凉,150,—,结束乐队,2 输出,,可种,主力,,吃豆凉
祐天寺若麦,150,鼓手,AveMujica,2 输出,,可种,主力,祐天寺若麦,祐天寺若麦
井芹仁菜(主唱),175,主唱,无刺有刺,2 输出,压力（GBC）,可种,主力,井芹仁菜,主唱Nina
平泽唯,175,吉他,放学后茶会,2 输出,,可种,主力,平泽唯,平泽唯
要乐奈,175,吉他,Mygo,2 输出,,可种,主力,要乐奈,要乐奈
凉,200,贝斯,结束乐队,2 输出,,可种,主力,凉,凉
椎名立希,200,鼓手,Mygo,2 输出,,可种,主力,椎名立希,椎名立希
井芹仁菜,225,主唱,无刺有刺,2 输出,压力（GBC）,可种,主力,井芹仁菜,井芹仁菜
圣聆初雪,275,—,谢拉格,2 输出,,可种,主力,chessTileType: 1,圣聆初雪
丰川祥子Oblivionis,475,键盘,AveMujica,2 输出,,可种,主力,丰川祥子,Oblivionis
吉他英雄,500,吉他,结束乐队,2 输出,,可种,主力,波奇,吉他英雄
三角初华,50,吉他,AveMujica / sumimi,3 辅助,,可种,主力,三角初华,三角初华
海老塚智,50,键盘,无刺有刺,3 辅助,压力（GBC）,可种,主力,海老冢智,Tomo
秋山澪,50,贝斯,放学后茶会,3 辅助,,可种,主力,秋山澪,秋山澪
宇宙高松灯,125,主唱,Mygo,3 辅助,,可种,主力,高松灯,宇宙高松灯
伊地知星歌,150,—,—,3 辅助,,可种,主力,chessTileType: 1,星歌
Mon3tr,500,鼓手,巴别塔,3 辅助,,可种,主力,chessTileType: 1,M3
千早爱音,25,吉他,Mygo,4 产阳,,可种,主力,千早爱音,千早爱音
安和昴,50,鼓手,无刺有刺,4 产阳,压力（GBC）,可种,主力,安和昴,486
小虹夏,50,—,结束乐队,4 产阳,,可种,主力,,小虹夏
桃金娘,50,鼓手,—,4 产阳,,可种,主力,chessTileType: 1,桃金娘
纯田真奈,50,主唱,sumimi,4 产阳,,可种,主力,纯田真奈,纯田真奈
虹夏,50,鼓手,结束乐队,4 产阳,,可种,主力,虹夏,虹夏
橘福福,0,—,—,5 过度,,可种,主力,,橘福福
嘉然土豆雷,25,—,—,5 过度,,可种,主力,chessTileType: 1,嘉然土豆雷
爱芮,50,主唱,妄想天使,5 过度,,可种,主力,chessTileType: 1,爱芮
丰川祥子,75,键盘,库莱西裤,5 过度,,可种,主力,chessTileType: 1,丰川祥子
灵感菇,75,—,—,5 过度,,可种,主力,chessTileType: 1,灵感菇
仪玄,50,—,—,6 灰烬,,可种,主力,,仪玄
初华小推车,50,吉他,—,6 灰烬,,可种,主力,chessTileType: 1,初音小推车
潘引壶,50,—,—,6 灰烬,,可种,主力,,潘引壶
迈巴赫,50,—,—,6 灰烬,,可种,主力,,迈巴赫
喜多照片,75,—,结束乐队,6 灰烬,,可种,主力,,喜多遗照
企鹅高松灯,125,—,—,6 灰烬,,可种,主力,高松灯,企鹅高松灯
史尔特尔,125,—,—,6 灰烬,,可种,主力,chessTileType: 1,史尔特尔
苍角,125,—,—,6 灰烬,,可种,主力,chessTileType: 1,苍角
喜多,150,吉他,结束乐队,6 灰烬,,可种,主力,喜多,喜多
南宫羽,75,—,—,7 针对,,可种,辅助占格,,南宫羽
薇薇安,100,—,反舌鸟,7 针对,,可种,辅助占格,chessTileType: 1,薇薇安
甜甜圈,25,—,sumimi,消耗品,,可种,消耗品,chessTileType: 9,甜甜圈
